R,a,delta,F,R_a,delta_a,F_Eah
3,25,45.19988848,57.18220893,0.12,0.180799554,0.00718708
3,25,45.6918433,61.83795381,0.12,0.182767373,0.007772249
3,25,46.18645819,61.81639205,0.12,0.184745833,0.007769539
3,25,46.68865888,60.75446864,0.12,0.186754636,0.007636068
3,25,47.18181625,66.02996936,0.12,0.188727265,0.008299132
3,25,47.67578534,69.93659335,0.12,0.190703141,0.008790145
3,25,48.18343839,64.9170644,0.12,0.192733754,0.008159254
3,25,48.6721775,71.47407209,0.12,0.19468871,0.008983387
3,25,49.16718564,74.87714134,0.12,0.196668743,0.00941111
3,25,49.67141328,71.38617102,0.12,0.198685653,0.008972339
3,25,50.16582699,76.52267743,0.12,0.200663308,0.009617933
3,25,50.65763878,80.88591278,0.12,0.202630555,0.010166336
3,25,51.16060221,78.30322591,0.12,0.204642409,0.009841725
3,25,51.65778859,81.88269908,0.12,0.206631154,0.01029162
3,25,52.14838991,86.80443797,0.12,0.20859356,0.01091022
3,25,52.65147782,84.96121537,0.12,0.210605911,0.01067855
3,25,53.1478532,88.30090334,0.12,0.212591413,0.011098307
3,25,53.64390599,92.74717799,0.12,0.214575624,0.011657147
3,25,54.14450749,91.52929517,0.12,0.21657803,0.011504075
3,25,54.63944269,94.99833346,0.12,0.218557771,0.011940089
3,25,55.13287465,99.49738289,0.12,0.220531499,0.012505563
3,25,55.6353145,97.85876183,0.12,0.222541258,0.012299609
3,25,56.12956385,102.7706032,0.12,0.224518255,0.012916965
3,25,56.62468891,106.0731255,0.12,0.226498756,0.01333205
3,25,57.12774343,104.1199727,0.12,0.228510974,0.013086564
3,25,57.61957431,111.4843645,0.12,0.230478297,0.014012175
3,25,58.11726134,111.8050833,0.12,0.232469045,0.014052485
3,25,58.61898833,111.6020475,0.12,0.234475953,0.014026966
3,25,59.11154265,120.3674418,0.12,0.236446171,0.015128665
3,25,59.6107415,117.5705588,0.12,0.238442966,0.014777132
3,25,60.11122573,120.1026357,0.12,0.240444903,0.015095382
3,25,60.60344749,128.1495903,0.12,0.24241379,0.016106783
3,25,61.10650314,123.6927704,0.12,0.244426013,0.015546617
3,25,61.60191904,129.9083372,0.12,0.246407676,0.016327835
3,25,62.09624211,133.6947512,0.12,0.248384968,0.016803739
3,25,62.59820909,132.4318372,0.12,0.250392836,0.016645007
3,25,63.09317993,140.0794603,0.12,0.25237272,0.017606217
3,25,63.59190755,138.5848588,0.12,0.25436763,0.017418364
3,25,64.08927496,142.3122635,0.12,0.2563571,0.017886852
3,25,64.58266693,149.049028,0.12,0.258330668,0.018733578
3,25,65.08602788,145.2521078,0.12,0.260344112,0.018256353
3,25,65.57981546,153.3513556,0.12,0.262319262,0.019274326
3,25,66.07866088,154.1493838,0.12,0.264314644,0.019374628
3,25,66.5796204,155.719552,0.12,0.266318482,0.019571978
3,25,67.07219079,162.6969039,0.12,0.268288763,0.020448943
3,25,67.57538434,159.3512815,0.12,0.270301537,0.020028441
3,25,68.06834076,168.6050443,0.12,0.272273363,0.021191522
3,25,68.56852409,168.4146486,0.12,0.274274096,0.021167591
3,25,69.06749698,171.2363965,0.12,0.276269988,0.021522249
3,25,69.56142884,177.0290018,0.12,0.278245715,0.022250307
3,25,70.06412548,174.3757451,0.12,0.280256502,0.021916826
