F,x,y
500.0,0.11,26.393077601410933
500.0,0.12,27.83333333333333
500.0,0.13,29.297398589065253
500.0,0.13999999999999999,30.783950617283946
500.0,0.14999999999999997,32.291666666666664
500.0,0.15999999999999998,33.81922398589065
500.0,0.16999999999999998,35.36529982363316
500.0,0.17999999999999997,36.92857142857142
500.0,0.18999999999999995,38.50771604938271
500.0,0.19999999999999996,40.10141093474426
1000.0,0.11,52.78615520282187
1000.0,0.12,55.66666666666666
1000.0,0.13,58.594797178130506
1000.0,0.13999999999999999,61.56790123456789
1000.0,0.14999999999999997,64.58333333333333
1000.0,0.15999999999999998,67.6384479717813
1000.0,0.16999999999999998,70.73059964726632
1000.0,0.17999999999999997,73.85714285714285
1000.0,0.18999999999999995,77.01543209876542
1000.0,0.19999999999999996,80.20282186948852
1500.0,0.11,79.1792328042328
1500.0,0.12,83.49999999999999
1500.0,0.13,87.89219576719577
1500.0,0.13999999999999999,92.35185185185185
1500.0,0.14999999999999997,96.87499999999999
1500.0,0.15999999999999998,101.45767195767193
1500.0,0.16999999999999998,106.09589947089945
1500.0,0.17999999999999997,110.78571428571428
1500.0,0.18999999999999995,115.52314814814811
1500.0,0.19999999999999996,120.30423280423277
2000.0,0.11,105.57231040564373
2000.0,0.12,111.33333333333331
2000.0,0.13,117.18959435626101
2000.0,0.13999999999999999,123.13580246913578
2000.0,0.14999999999999997,129.16666666666666
2000.0,0.15999999999999998,135.2768959435626
2000.0,0.16999999999999998,141.46119929453263
2000.0,0.17999999999999997,147.7142857142857
2000.0,0.18999999999999995,154.03086419753083
2000.0,0.19999999999999996,160.40564373897703
2500.0,0.11,131.96538800705466
2500.0,0.12,139.16666666666666
2500.0,0.13,146.48699294532628
2500.0,0.13999999999999999,153.91975308641972
2500.0,0.14999999999999997,161.45833333333331
2500.0,0.15999999999999998,169.09611992945324
2500.0,0.16999999999999998,176.82649911816577
2500.0,0.17999999999999997,184.6428571428571
2500.0,0.18999999999999995,192.5385802469135
2500.0,0.19999999999999996,200.50705467372129
3000.0,0.11,158.3584656084656
3000.0,0.12,166.99999999999997
3000.0,0.13,175.78439153439155
3000.0,0.13999999999999999,184.7037037037037
3000.0,0.14999999999999997,193.74999999999997
3000.0,0.15999999999999998,202.91534391534387
3000.0,0.16999999999999998,212.1917989417989
3000.0,0.17999999999999997,221.57142857142856
3000.0,0.18999999999999995,231.04629629629622
3000.0,0.19999999999999996,240.60846560846554
3500.0,0.11,184.75154320987656
3500.0,0.12,194.83333333333331
3500.0,0.13,205.08179012345678
3500.0,0.13999999999999999,215.48765432098762
3500.0,0.14999999999999997,226.04166666666666
3500.0,0.15999999999999998,236.7345679012345
3500.0,0.16999999999999998,247.5570987654321
3500.0,0.17999999999999997,258.4999999999999
3500.0,0.18999999999999995,269.5540123456789
3500.0,0.19999999999999996,280.70987654320976
4000.0,0.11,211.14462081128747
4000.0,0.12,222.66666666666663
4000.0,0.13,234.37918871252202
4000.0,0.13999999999999999,246.27160493827157
4000.0,0.14999999999999997,258.3333333333333
4000.0,0.15999999999999998,270.5537918871252
4000.0,0.16999999999999998,282.92239858906527
4000.0,0.17999999999999997,295.4285714285714
4000.0,0.18999999999999995,308.06172839506166
4000.0,0.19999999999999996,320.81128747795407
4500.0,0.11,237.5376984126984
4500.0,0.12,250.49999999999997
4500.0,0.13,263.67658730158723
4500.0,0.13999999999999999,277.0555555555555
4500.0,0.14999999999999997,290.62499999999994
4500.0,0.15999999999999998,304.37301587301585
4500.0,0.16999999999999998,318.2876984126984
4500.0,0.17999999999999997,332.3571428571428
4500.0,0.18999999999999995,346.5694444444444
4500.0,0.19999999999999996,360.9126984126984
5000.0,0.11,263.9307760141093
5000.0,0.12,278.3333333333333
5000.0,0.13,292.97398589065256
5000.0,0.13999999999999999,307.83950617283944
5000.0,0.14999999999999997,322.91666666666663
5000.0,0.15999999999999998,338.1922398589065
5000.0,0.16999999999999998,353.65299823633154
5000.0,0.17999999999999997,369.2857142857142
5000.0,0.18999999999999995,385.077160493827
5000.0,0.19999999999999996,401.01410934744257
